"matter","date","activity_description","note","price","quantity","type","activity_user","non_billable"
"Beloit","3/5/2026","","Email all leases to Xochitl Cortez","365","0.5","","",""
"Beloit","3/5/2026","","Prepare updated rent roll; send rent roll and responses to questions to Xochitl Cortez ","365","0.4","","",""
"Beloit","3/6/2026","","Respond to email from Steve Donell re unfunded security deposits pertaining to PSA","365","0.2","","",""
"Beloit","3/6/2026","","Email from Surya Santhanam re security deposits from Moss leases","365","0.2","","",""
"Beloit","3/6/2026","","Review email from Steve Donell re questions from Enterprise Bank","365","0.1","","",""
"Beloit","3/11/2026","","Check bank account to determine if funds are required; Prepare and send funding request to EB&T","235","0.4","","",""
"Beloit","3/18/2026","","Respond to email from Xochitl Cortez regarding delinquencies; review delinquency report and email to Xochitl","365","0.4","","",""
"Beloit","3/20/2026","","Email leases to Xochitl Cortez","365","0.3","","",""
"Beloit","3/23/2026","","Respond to email from Xochitl Cortez regarding document request from buyer; email copy of all contracts","365","0.5","","",""
"Beloit","3/23/2026","","Send Feb 2026 financial report to service list","235","0.2","","",""
"Beloit","3/27/2026","","Prepare and send funding request to EB&T","235","0.2","","",""
"Beloit","3/30/2026","","Prepare February income statement and rent roll; send to Collier's per request","365","0.4","","",""
"Birdies Receivership Estate","3/9/2026","","Email Jan 2026 financial report to service list","165","0.2","","",""
"Eprazel Receivership Estate","3/9/2026","","Circulate financial report to service list","235","0.1","","",""
"Estate of Nina Ruth Chomsky","3/16/2026","","Email to Oscar Gallegos from Bond Services re invoice","275","0.1","","",""
"Estate of Nina Ruth Chomsky","3/17/2026","","Review issue re change of addresses","275","0.2","","",""
"Estate of Nina Ruth Chomsky","3/27/2026","","Review HOA invoice","275","0.2","","",""
"Fikhman Receivership","3/6/2026","","Review check sent by management company and notify James Donell; discuss check that was originally lost with Laura Urbano","275","0.1","","",""
"Fikhman Receivership","3/27/2026","","Review fee objection letter submitted by William Fikhman","275","0.2","","",""
"Fikhman Receivership","3/31/2026","","Review fee objection letter submitted by Mikhail Fikhman","275","0.2","","",""
"Foreside Receivership Estate","3/10/2026","","Prepare analysis of use of funds from Woodsom; reconcile bank account; send to Steve Donell","275","0.4","","",""
"Foreside Receivership Estate","3/12/2026","","Email to Steve Donell regarding cash balance and question regarding payment of professional fees","275","0.2","","",""
"Foreside Receivership Estate","3/16/2026","","Check bank account for wire from Mark Woodsom; email confirmation","275","0.2","","",""
"Foreside Receivership Estate","3/16/2026","","Discuss receipt of funds with Laura Urbano and payment of professional fees","275","0.2","","",""
"Foreside Receivership Estate","3/23/2026","","Email Feb 2026 financial report to service list","275","0.2","","",""
"Foreside Receivership Estate","3/30/2026","","Email wire instructions","275","0.1","","",""
"FTC v. American Tax Service, et al.","3/4/2026","","Complete Jan 2026 financial report.","247.5","0.8","","",""
"FTC v. American Tax Service, et al.","3/5/2026","","Review email from consumer re other companies targeting consumers; forward to Steve Donell","355.5","0.2","","",""
"FTC v. American Tax Service, et al.","3/5/2026","","Review email from Paycom re refund of taxes","355.5","0.1","","",""
"FTC v. American Tax Service, et al.","3/9/2026","","Respond to email from consumer regarding unknown spam caller","355.5","0.2","","",""
"FTC v. American Tax Service, et al.","3/19/2026","","Email Jan 2026 financial report to Steve Donell per request","247.5","0.2","","",""
"FTC v. American Tax Service, et al.","3/19/2026","","Prepare Feb 2026 financial report; email to Steve Donell","247.5","0.8","","",""
"FTC v. American Tax Service, et al.","3/27/2026","","Review numerous emails from Consumer re other possible scams","355.5","0.5","","",""
"FTC v. American Tax Service, et al.","3/30/2026","","Review email from consumer","355.5","0.1","","",""
"FTC v. American Tax Service, et al.","3/31/2026","","Prepare and send wire.","247.5","0.2","","",""
"FTC v. Ascend Capventures, et al.","3/27/2026","","Provide proof of funds to payment processor","235","0.2","","",""
"Gledhill Referee Estate","3/2/2026","","Email to Todd Donell to request loan statement","275","0.1","","",""
"Gledhill Referee Estate","3/13/2026","","Request vendor documents re gardener; forward invoices for payment","275","0.1","","",""
"Gledhill Referee Estate","3/18/2026","","Review reconciled bank balance; email to Steve Donell re additional referee certificate","275","0.2","","",""
"Gledhill Referee Estate","3/23/2026","","Circulate Feb 2026 financial report to service list","275","0.2","","",""
"Gledhill Referee Estate","3/26/2026","","Send form to Nick Scarano for signature re Bank of America","275","0.2","","",""
"Infiniti Health Receivership","3/17/2026","","Discuss payment of professional fees with Steve Donell; email to Anuj Wadhawan regarding list of professionals retained; request AP report","185","0.2","","",""
"Infiniti Health Receivership","3/24/2026","","Review AP aging report prepared by Anuj; select invoices for payment; discuss with Steve Donell; follow up email to Anuj","185","0.3","","",""
"Infiniti Health Receivership","3/30/2026","","Email to Sarah Bates regarding list of all professionals in case and their purposes.","185","0.3","","",""
"Laguna Beach Receivership Estate","3/1/2026","","Review maintenance request submitted by tenant; forward to Dora Orgill for handling.","395","0.2","","",""
"Laguna Beach Receivership Estate","3/2/2026","","Review email from Andrew Chapel re tenant ledger; check Appfolio and respond to email","275","0.2","","",""
"Laguna Beach Receivership Estate","3/2/2026","","Review email from Dora Orgill re trash containers","395","0.1","","",""
"Laguna Beach Receivership Estate","3/2/2026","","Review inquiry from tenant on Appfolio; forward to Dora Orgill","275","0.2","","",""
"Laguna Beach Receivership Estate","3/2/2026","","Review maintenance request submitted by tenant; forward to Dora Orgill for handling.","275","0.2","","",""
"Laguna Beach Receivership Estate","3/2/2026","","Review/approve payables","275","0.2","","",""
"Laguna Beach Receivership Estate","3/3/2026","","Email to Laguna Beer Co. regarding instructions to pay rent","275","0.2","","",""
"Laguna Beach Receivership Estate","3/3/2026","","Email to UD attorney re updates re Hopley; forward copy of lease","395","0.2","","",""
"Laguna Beach Receivership Estate","3/4/2026","","Compile documents re Lindy Ann Hopley; send file to UD attorney for handling","395","0.3","","",""
"Laguna Beach Receivership Estate","3/4/2026","","Provide login information to Appfolio to tenant Lindy Ann","275","0.1","","",""
"Laguna Beach Receivership Estate","3/4/2026","","Respond to email from Lindy Ann re late fees; review lease to confirm","395","0.2","","",""
"Laguna Beach Receivership Estate","3/4/2026","","Review email from Erika Akason re utilities and transferring bills to receivership; email court order and W9 with further instructions to Erika Akason","275","0.3","","",""
"Laguna Beach Receivership Estate","3/5/2026","","Review and respond to email from Dora Orgill re electric bill at 853 LCR","395","0.2","","",""
