"Contact Name","Entity","First Name","Last Name","Title","Company","Primary Email","Primary Phone","City","State","Client","Tags"
"1427 15th Street Receivership","Company","","","","","","","Los Angeles","CA","true","Receivership"
"Beloit Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"Birdies Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"S. Brower Living Trust","Company","","","","","","","Los Angeles","CA","true",""
"Bui Bankruptcy","Company","","","","","","","Los Angeles","CA","true",""
"Butler Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"Eprazel Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"FTC v. Ascend Capventures, et al.","Company","","","","","","","Los Angeles","CA","true",""
"Infiniti Health Receivership","Company","","","","","","","Los Angeles","CA","true",""
"Leighton Ave Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"McEntyre Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"Nature's Growers Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"Serenity Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"Spalding HOA Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"Tomko Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"Waid Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"Youssif v. Youssif, et al.","Company","","","","","","","Los Angeles","CA","true",""
"Zola Hospice Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"8619-8621 Wilshire Referee Estate","Company","","","","","","","Los Angeles","CA","true",""
"Bergazin Referee Estate","Company","","","","","","","Los Angeles","CA","true",""
"East Valley Referee Estate","Company","","","","","","","Los Angeles","CA","true",""
"Malibu Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"Pacific Avenue Referee Estate","Company","","","","","","","Los Angeles","CA","true",""
"Long Beach Eucl. Apts., LLC","Company","","","","","","","Los Angeles","CA","true",""
"Long Beach Vers. Apts., LLC","Company","","","","","","","Los Angeles","CA","true",""
"Martin Apartments, LLC","Company","","","","","","","Los Angeles","CA","true",""
"Griffin Resources Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"Nurchure Staffing","Company","","","","","","","","","false",""
"Bellhouse Referee Estate","Company","","","","","","","","","true",""
"Jalmar Properties, Inc.","Company","","","","","","","","","true",""
"Harris Avenue Referee Estate","Company","","","","","sarah.bates@fedreceiver.com","","Los Angeles","CA","true",""
"Jalilvand Law Corporation","Company","","","","","","","","","false",""
"Parachute Technology, Inc.","Company","","","","","","","Los Angeles","CA","true",""
"Crenshaw Blvd. Referee Estate","Company","","","","","","","Los Angeles","CA","true",""
"South Hobart Referee Estate","Company","","","","","","","Los Angeles","CA","true",""
"Sea Star Estates HOA","Company","","","","","","","","","true",""
"Mercury Insurance","Company","","","","","","","","","false",""
"Avery Williams","Company","","","","","","","","","false",""
"Pine Hallow","Company","","","","","","","","","false",""
"Pine Hollow Receivership Estate","Company","","","","","","","","","true",""
"Riley|Ersoff LLP","Company","","","","","","","Beverly Hills","CA","false",""
"Darvish Firm, APC","Company","","","","","","","Los Angeles","CA","false",""
"O'Farrell Referee Estate","Company","","","","","","","Los Angeles","CA","true",""
"Potential Attorney","Company","","","","","","","","","false",""
"Stout Receivership","Company","","","","","","","","","true",""
"Maie Avenue Receivership","Company","","","","","","","","","true",""
"Laguna Beach Receivership Estate","Company","","","","","","","Los Angeles","CA","true",""
"FTC v. American Tax Service, et al.","Company","","","","","","","Los Angeles","CA","true",""
"Gledhill Referee Estate","Company","","","","","","3102078481","Los Angeles","CA","true",""
"Foreside Receivership Estate","Company","","","","","","","","","true",""
"Fikhman Receivership","Company","","","","","","","Los Angeles","CA","true",""
"Estate of Nina Ruth Chomsky","Company","","","","","","","Los Angeles","CA","true",""
"CCOA Receivership","Company","","","","","","","Los Angeles","CA","true",""
"Martinez & Schill LLP","Company","","","","","","","","","false",""
"Mason Turk Receivership","Company","","","","","","","Los Angeles","CA","true",""
"SF Eagle Bar Receivership","Company","","","","","","","Los Angeles","CA","true",""
