"Number","Matter","Description","Status","Open Date","Close Date","Responsible Attorney","Case No.","Property Name","Property Address","Appointment Date"
"1","1427 15th Street Receivership","Receivership Estate","Closed","08/07/2024","06/03/2026","Steve Donell","24STCV00507","","1427 15th Street; Los Angeles, CA 90025","2024-08-07"
"2","8619-8621 Wilshire Referee Estate","Partition Action","Open","11/16/2023","","Steve Donell","Case No. 22SMCV00991","","8619-8621 Wilshire Blvd.; Beverly Hills, CA 90211","2023-11-16"
"51","Bellhouse Referee Estate","Partition Action","Closed","01/09/2025","08/22/2025","","","","","2024-02-08"
"27","Beloit Receivership Estate","Receivership Estate","Open","05/24/2024","","Steve Donell","24STCV00385","","1775 Beloit Ave; Los Angeles, CA 90025","2024-05-24"
"28","Bergazin Referee Estate","Partition Action","Closed","11/11/2023","11/19/2025","Steve Donell","30-2020-01140866-CU-OR-WJC","","","2023-01-11"
"29","Birdies Receivership Estate","-","Open","08/17/2022","","Steve Donell","Case No. BC650612","","314 W Olympic; Los Angeles, CA","2022-08-17"
"30","Bui Bankruptcy","Bankruptcy - Field Agent","Closed","08/17/2022","01/14/2025","Steve Donell","","","",""
"31","Butler Receivership Estate","Receivership","Closed","03/28/2024","02/14/2025","Steve Donell","24SMCV01329","","","2024-03-28"
"82","CCOA Receivership","CCOA","Open","03/09/2026","","","24STCV33886","","","2026-03-16"
"67","Crenshaw Blvd. Referee Estate","Partition Action","Closed","04/11/2025","02/24/2026","Steve Donell","22STPB00556","","11102 Crenshaw Blvd.; Inglewood, CA 90303","2025-04-11"
"32","East Valley Referee Estate","Partition Action","Open","11/21/2024","","Steve Donell","23AHCV01272","","","2024-11-21"
"33","Eprazel Receivership Estate","Receivership Estate","Open","01/09/2025","","Steve Donell","CGC-21-588916","","","2024-07-03"
"81","Estate of Nina Ruth Chomsky","Administrator of Estate","Open","10/30/2025","","","","","",""
"80","Fikhman Receivership","Fikhman v. Fikhman, et al.","Open","12/29/2025","","","23STFL03923","","Multiple","2025-12-26"
"79","Foreside Receivership Estate","Brightstar Franchising LLC v. Foreside Management Co.","Open","12/19/2025","","Steve Donell","1:25-cv-08741","","","2025-12-23"
"77","FTC v. American Tax Service, et al.","Receivership","Open","10/09/2025","","Steve Donell","","","","2025-10-09"
"34","FTC v. Ascend Capventures, et al.","Receivership","Open","09/13/2024","","Steve Donell","","","","2024-09-13"
"78","Gledhill Referee Estate","Scarano v. Liu, et al.","Open","12/18/2025","","","20STCV34575","","16320 Gledhill Street; North Hills, CA 91343","2025-12-17"
"65","Griffin Resources Receivership Estate","Partnership Dispute","Closed","12/01/2024","09/16/2025","Steve Donell","BCV-23-103099","","","2024-05-13"
"64","Harris Avenue Referee Estate","Partition Action","Closed","01/23/2025","08/13/2025","","23CMCV01207","","","2025-01-22"
"35","Infiniti Health Receivership","General","Open","03/22/2022","","Steve Donell","21STCV40022","","","2022-03-22"
"56","Infiniti Health Receivership","Nurchure Staffing","Open","03/22/2022","","Steve Donell","21STCV40022","","","2022-03-22"
"70","Infiniti Health Receivership","Avery Williams","Open","06/26/2025","","Steve Donell","21STCV40022","","","2022-03-22"
"63","Jalmar Properties, Inc.","JPI","Closed","01/15/2025","09/16/2025","Lisa Qin","","","",""
"76","Laguna Beach Receivership Estate","Enterprise Bank & Trust vs. 777 at Laguna, LLC","Open","10/02/2025","","Steve Donell","30-2025-01504281-CU-BC-CJC","","Multiple","2025-10-02"
"36","Leighton Ave Receivership Estate","Receivership","Open","08/31/2023","","Steve Donell","BC711889","","1726-1728 Leighton Ave; Los Angeles, CA","2023-08-31"
"37","Long Beach Eucl. Apts., LLC","Asset Management","Open","01/09/2025","","Steve Donell","","","","2022-11-01"
"38","Long Beach Vers. Apts., LLC","Asset Management","Open","01/09/2025","","Steve Donell","","","","2022-11-01"
"75","Maie Avenue Receivership","Tran v. Tami, et al.; Case No. 23STCV08305","Open","09/25/2025","","Steve Donell","23STCV08305","","8122 Maie Avenue; Los Angeles, CA 90001 ; (AIN: 6027-013-013","2025-09-23"
"39","Malibu Receivership Estate","Receivership","Closed","03/21/2023","09/16/2025","Steve Donell","BC6509025","","","2023-03-21"
"40","Martin Apartments, LLC","Asset Management","Open","11/01/2022","","Steve Donell","","","","2022-11-01"
"83","Mason Turk Receivership","CW Powell Capital Management, LLC v. Monarch JV, LLC, et al.","Open","05/14/2026","","","25STCV33641","","25 Mason Street/16 Turk Street; San Francisco, CA","2026-05-13"
"41","McEntyre Receivership Estate","Receivership","Closed","08/23/2021","01/27/2025","Steve Donell","19TRCV00310","","","2021-08-23"
"42","Nature's Growers Receivership Estate","Receivership Estate","Open","08/20/2024","","Steve Donell","10D007276","","","2024-08-20"
"72","O'Farrell Referee Estate","Veronica Gonzalez, Administrator of the Estate of Maria Macias v. Joaquin Macias, et al.; Case No. 24LBCV02623","Open","08/21/2025","","Steve Donell","24LBCV02623","","364 West O'Farrell Street; Los Angeles, CA 90731","2025-08-21"
"43","Pacific Avenue Referee Estate","Partition Action","Closed","11/05/2024","08/21/2025","Steve Donell","23LBCV02110","","3622-3624 Pacific Avenue, Long Beach CA 90807","2024-11-05"
"66","Parachute Technology, Inc.","Provisional Director","Open","01/30/2025","","Steve Donell","","","",""
"71","Pine Hollow Receivership Estate","Silvio Garaventa, Jr. v. Mehrzad Azari, et al.","Open","06/13/2025","","Steve Donell","C19-02043","","","2025-06-13"
"44","S. Brower Living Trust","General","Open","11/04/2024","","Steve Donell","","","","2024-11-04"
"57","S. Brower Living Trust","Rivo Alto - Long Beach","Open","11/04/2024","","Steve Donell","","","","2024-11-04"
"58","S. Brower Living Trust","165 W 91 St - NY","Open","11/04/2024","","Steve Donell","","","","2024-11-04"
"59","S. Brower Living Trust","Canyons Resort - UT","Open","11/04/2024","","Steve Donell","","","","2024-11-04"
"60","S. Brower Living Trust","Oak Knoll - Pasadena","Open","11/04/2024","","Steve Donell","","","","2024-11-04"
"61","S. Brower Living Trust","93 Shore Rd - ME","Open","11/04/2024","","Steve Donell","","","","2024-11-04"
"62","S. Brower Living Trust","18 Crest Ave - ME","Open","11/04/2024","","Steve Donell","","","","2024-11-04"
"69","Sea Star Estates HOA","Receivership Estate","Open","05/05/2025","","Steve Donell","24STCV33307","","","2025-05-05"
"45","Serenity Receivership Estate","Receivership","Open","08/05/2024","","Steve Donell","23STCV22846","","","2024-08-05"
"84","SF Eagle Bar Receivership","The Estate of Mike Angel Leon","Open","06/04/2026","","Steve Donell","","","","2026-06-03"
"68","South Hobart Referee Estate","Partition Action","Closed","04/11/2025","02/24/2026","Steve Donell","Case No. 22STPM00556","","6130-6134 South Hobart Blvd.; Los Angeles, CA 90047","2025-04-11"
"46","Spalding HOA Receivership Estate","HOA Receivership","Open","05/17/2023","","Steve Donell","19SMCV00289","","","2023-05-17"
"74","Stout Receivership","Stout v. Stout, et al.; Case No. BD579228","Open","09/23/2025","","","","","","2025-09-23"
"52","Tomko Receivership Estate","Fountain Valley","Open","01/10/2025","","","30-2018-01020192-CU-FR-CJC","","","2019-03-15"
"53","Tomko Receivership Estate","Walnut","Open","03/15/2019","","Steve Donell","30-2018-01020192-CU-FR-CJC","","","2019-03-15"
"54","Tomko Receivership Estate","General Receivership","Open","03/15/2019","","Steve Donell","30-2018-01020192-CU-FR-CJC","","","2019-03-15"
"55","Tomko Receivership Estate","June Lake","Open","03/15/2019","","Steve Donell","30-2018-01020192-CU-FR-CJC","","","2019-03-15"
"48","Waid Receivership Estate","Business Receivership","Closed","07/20/2020","06/03/2026","Steve Donell","BCV-20-101263-TSC","","","2020-07-20"
"49","Youssif v. Youssif, et al.","Receivership","Open","04/19/2022","","Steve Donell","21STFL00817","","","2022-04-19"
"50","Zola Hospice Receivership Estate","Receivership","Open","03/23/2023","","Steve Donell","23VECV00655","","","2023-03-23"
